,username,date,text,word_number,no_stop_words
0,Freestar9,2020-06-29 13:41:33,La France n'est pas la poubelle du monde : expulsons les délinquants et criminels étrangers ! https://damocles.co/expulsion-delinquants-etrangers via @Damocles_fr #Municipales2020,16,"['france', 'poubelle', 'monde', 'expulsons', 'délinquants', 'criminels', 'étrangers', 'https', 'damocles', 'co', 'expulsion', 'delinquants', 'etrangers', 'via', 'damocles_fr', 'municipales2020']"
1,EchosPolitique,2020-06-29 13:41:20,"#Municipales2020 PORTRAIT Peu connu du grand public, Bruno Bernard, le futur président EELV du #GrandLyon, connaît bien la politique. Pas tant grâce à ses 2 mandats locaux que par sa jeunesse dans une famille de militants PS très proches de Mitterrand",27,"['municipales2020', 'portrait', 'peu', 'connu', 'grand', 'public', 'bruno', 'bernard', 'futur', 'président', 'eelv', 'grandlyon', 'connaît', 'bien', 'politique', 'tant', 'grâce', '2', 'mandats', 'locaux', 'jeunesse', 'famille', 'militants', 'ps', 'très', 'proches', 'mitterrand']"
2,ThibautLanord,2020-06-29 13:41:16,#Municipales2020 #Municipales #Municipales28juin,3,"['municipales2020', 'municipales', 'municipales28juin']"
3,LeConnard_Off,2020-06-29 13:41:05,Municipales : Gérard Collomb et Alain Juppé dévoilent leur projet pour la retraite https://leconnardenchaine.fr/politique/france/municipales-gerard-collomb-et-alain-juppe-devoilent-leur-projet-pour-la-retraite #Municipales2020 #Lyon #Bordeaux,24,"['municipales', 'gérard', 'collomb', 'alain', 'juppé', 'dévoilent', 'projet', 'retraite', 'https', 'leconnardenchaine', 'fr', 'politique', 'france', 'municipales', 'gerard', 'collomb', 'alain', 'juppe', 'devoilent', 'projet', 'retraite', 'municipales2020', 'lyon', 'bordeaux']"
4,LPA_OCCASION,2020-06-29 13:41:05,DÉTAILS ICI :http://lpa-mobilierbureau.fr :lpa77100@gmail.com #LaVieDesObjets #affaireconclue #france2 #Fillon #MonAppareilPhotoCdiscount #paris9 #Goussainville #HwasaMaria #MondayMotivation #Paris12 #Municipales2020 #design #pme #collectivité #Paris15 #ManpowerFrance #intérim #bfm,27,"['détails', 'ici', 'http', 'lpa', 'mobilierbureau', 'fr', 'lpa77100', 'gmail', 'com', 'laviedesobjets', 'affaireconclue', 'france2', 'fillon', 'monappareilphotocdiscount', 'paris9', 'goussainville', 'hwasamaria', 'mondaymotivation', 'paris12', 'municipales2020', 'design', 'pme', 'collectivité', 'paris15', 'manpowerfrance', 'intérim', 'bfm']"
5,EnergiePartagee,2020-06-29 13:40:59,Espérons que les nouveaux maires #EELV saisissent l'opportunité ; ils ont #UnMandatPourToutChanger http://bit.ly/2Yufv96 #Municipales2020,12,"['espérons', 'nouveaux', 'maires', 'eelv', 'saisissent', 'opportunité', 'unmandatpourtoutchanger', 'http', 'bit', 'ly', '2yufv96', 'municipales2020']"
6,tianbaenasan,2020-06-29 13:40:48," Les ciutats més importants de França (+100K habitants) queden en mans de l'esquerra i els ecologistes, mentre que la dreta tradicional retrocedeix, però resistint al sud i a l'interior. LREM fa una UCD i el RN es queda només amb Perpinyà #Municipales2020 ",35,"['ciutats', 'més', 'importants', 'frança', '100k', 'habitants', 'queden', 'mans', 'esquerra', 'i', 'els', 'ecologistes', 'mentre', 'dreta', 'tradicional', 'retrocedeix', 'però', 'resistint', 'al', 'sud', 'i', 'a', 'interior', 'lrem', 'fa', 'una', 'ucd', 'i', 'el', 'rn', 'queda', 'només', 'amb', 'perpinyà', 'municipales2020']"
7,LibresJeunes,2020-06-29 13:40:42,Félicitations à @jlmoudenc pour sa victoire à #Toulouse. #Municipales2020 ,5,"['félicitations', 'jlmoudenc', 'victoire', 'toulouse', 'municipales2020']"
8,Pol_Animaux,2020-06-29 13:40:42,#Sathonay2020 • Félicitations Damien MONNIER ! Engagé sur la charte @L214 pour faire de Sathonay-Camp une ville pour les animaux. https://www.politique-animaux.fr/municipales-2020 #Animaux2020 #Municipales2020 ,21,"['sathonay2020', 'félicitations', 'damien', 'monnier', 'engagé', 'charte', 'l214', 'faire', 'sathonay', 'camp', 'ville', 'animaux', 'https', 'www', 'politique', 'animaux', 'fr', 'municipales', '2020', 'animaux2020', 'municipales2020']"
9,radioorient,2020-06-29 13:40:02,"PLURIEL spécial #Municipales2020 sur @radioorient A 19 h 20 et 23 h 20 avec Roxane Lundy, membre de la direction de Génération.s et Conseillère municipale de Beauvais @roxane_Lundy @GenerationsMvt",21,"['pluriel', 'spécial', 'municipales2020', 'radioorient', 'a', '19', 'h', '20', '23', 'h', '20', 'roxane', 'lundy', 'membre', 'direction', 'génération', 'conseillère', 'municipale', 'beauvais', 'roxane_lundy', 'generationsmvt']"
10,laurence41500,2020-06-29 13:39:58,#chasse #Municipales2020 C' est pas une vague verte Dans le #Centre la #LR (la #Droite #Sarkozy) s' en tire très bien Lire la Nouvelle République avec une carte région Centre avec une majorité de points bleus LR J' ai pas vu le reste,23,"['chasse', 'municipales2020', 'vague', 'verte', 'centre', 'lr', 'droite', 'sarkozy', 'tire', 'très', 'bien', 'lire', 'nouvelle', 'république', 'carte', 'région', 'centre', 'majorité', 'points', 'bleus', 'lr', 'vu', 'reste']"
11,LibresJeunes,2020-06-29 13:39:23,Félicitations à @laurent_sceaux et à @TheophileTouny pour leur élection à Sceaux ! #Municipales2020 ,6,"['félicitations', 'laurent_sceaux', 'theophiletouny', 'élection', 'sceaux', 'municipales2020']"
12,EchosPolitique,2020-06-29 13:39:18,"#Municipales2020 A #Paris, le second tour a tourné à la déroute pour la macronie, qui se console toutefois avec le IXe et le Ve conservés par deux ex-LR. La gauche conforte ses positions. Rachida Dati affirme avoir « redressé la droite »",26,"['municipales2020', 'a', 'paris', 'second', 'tour', 'a', 'tourné', 'déroute', 'macronie', 'console', 'toutefois', 'ixe', 've', 'conservés', 'deux', 'ex', 'lr', 'gauche', 'conforte', 'positions', 'rachida', 'dati', 'affirme', 'avoir', 'redressé', 'droite']"
13,J2France,2020-06-29 13:39:15,"""Notre pays est entrain de s'effondrer, notre système politique n'a plus la confiance des français. Notre République ne doit pas appartenir à une oligarchie qui se détourne du peuple."" #Municipales2020 Retrouvez la dernière vidéo de @DupontAignan ",20,"['pays', 'entrain', 'effondrer', 'système', 'politique', 'a', 'plus', 'confiance', 'français', 'république', 'doit', 'appartenir', 'oligarchie', 'détourne', 'peuple', 'municipales2020', 'retrouvez', 'dernière', 'vidéo', 'dupontaignan']"
14,pallaspascal,2020-06-29 13:39:09, #Municipales2020 à #Toulouse. Jean-Luc Moudenc : « Je veux être le maire de l'écologie concrète » https://actu.fr/?p=34622867 via @actufr,17,"['municipales2020', 'toulouse', 'jean', 'luc', 'moudenc', 'veux', 'être', 'maire', 'écologie', 'concrète', 'https', 'actu', 'fr', 'p', '34622867', 'via', 'actufr']"
15,gayregis,2020-06-29 13:38:40,#Municipales2020 ......... un dessin de Plantu dans #LeMonde,4,"['municipales2020', 'dessin', 'plantu', 'lemonde']"
16,EchosPolitique,2020-06-29 13:38:13,"#Municipales2020 Le second tour en Ile-de-France a été marqué par un recul du Parti communiste dans la région. La gauche lui a pris Saint-Denis, tandis que la droite lui a ravi Champigny-sur-Marne et Aubervilliers. Le RN a perdu sa seule ville. ",28,"['municipales2020', 'second', 'tour', 'ile', 'france', 'a', 'marqué', 'recul', 'parti', 'communiste', 'région', 'gauche', 'a', 'pris', 'saint', 'denis', 'tandis', 'droite', 'a', 'ravi', 'champigny', 'marne', 'aubervilliers', 'rn', 'a', 'perdu', 'seule', 'ville']"
17,Bob44322940,2020-06-29 13:38:06,"Municipales à Toulouse. « Je veux être le maire de l' écologie concrète », avance jlmoudenc, qui se dit prêt à « reprendre des propositions faites par AntoineMaurice ». Interview https://actu.fr/?p=34622867 via actufr Municipales2020",24,"['municipales', 'toulouse', 'veux', 'être', 'maire', 'écologie', 'concrète', 'avance', 'jlmoudenc', 'dit', 'prêt', 'reprendre', 'propositions', 'faites', 'antoinemaurice', 'interview', 'https', 'actu', 'fr', 'p', '34622867', 'via', 'actufr', 'municipales2020']"
18,guillaurens,2020-06-29 13:38:01,"#Municipales à #Toulouse. « Je veux être le maire de l'#écologie concrète », avance @jlmoudenc, qui se dit prêt à « reprendre des propositions faites par @AntoineMaurice ». Interview https://actu.fr/?p=34622867 via @actufr #Municipales2020",24,"['municipales', 'toulouse', 'veux', 'être', 'maire', 'écologie', 'concrète', 'avance', 'jlmoudenc', 'dit', 'prêt', 'reprendre', 'propositions', 'faites', 'antoinemaurice', 'interview', 'https', 'actu', 'fr', 'p', '34622867', 'via', 'actufr', 'municipales2020']"
19,Gramoun3,2020-06-29 13:37:52,"#saurel2020 la dégringolade,de maire et président de la Métropole tu décroches péniblement la 49 ieme place au conseil municipal dans l opposition,en un mot,une merde,Fini les 15000€mensuel,et bonjour les caries .Triste sortie 35% #Municipales2020 #Montpellier @myMetropolitain",26,"['saurel2020', 'dégringolade', 'maire', 'président', 'métropole', 'décroches', 'péniblement', '49', 'ieme', 'place', 'conseil', 'municipal', 'opposition', 'mot', 'merde', 'fini', '15000', 'mensuel', 'bonjour', 'caries', 'triste', 'sortie', '35', 'municipales2020', 'montpellier', 'mymetropolitain']"
20,LibresJeunes,2020-06-29 13:37:37,Félicitations à @sve83 pour sa victoire à Pontoise ! #Municipales2020 ,5,"['félicitations', 'sve83', 'victoire', 'pontoise', 'municipales2020']"
21,GreenPeculier,2020-06-29 13:37:32,"Seraient pas en train de faire dans leur froc, les ultra-libéraux ? Procès d'intention ou analyse du scrutin, cher @nicolasbarre_ ? Faites le point dans un an, donnez sa chance au produit #Municipales2020 : les limites de la percée écologiste ",21,"['train', 'faire', 'froc', 'ultra', 'libéraux', 'procès', 'intention', 'analyse', 'scrutin', 'cher', 'nicolasbarre_', 'faites', 'point', 'an', 'donnez', 'chance', 'produit', 'municipales2020', 'limites', 'percée', 'écologiste']"
22,RemyComiotto,2020-06-29 13:37:25,"Impossible de ne plus reconnaitre le ""vote blanc"" après un scrutin concernant la Démocratie de proximité qui a atteint les 60% de non votant... #Démocratie #Municipales2020 #voteblanc",18,"['impossible', 'plus', 'reconnaitre', 'vote', 'blanc', 'après', 'scrutin', 'concernant', 'démocratie', 'proximité', 'a', 'atteint', '60', 'non', 'votant', 'démocratie', 'municipales2020', 'voteblanc']"
23,EchelleInconnue,2020-06-29 13:37:24,[Au lendemain des #Municipales2020...] ,2,"['lendemain', 'municipales2020']"
24,EssonneAvecVous,2020-06-29 13:37:16,"#Municipales2020 Pensées pour @MehlhornEric, battu à Savigny-sur-Orge, Jean-Pierre Bechter, battu à Corbeil-Essonnes, @FMULIS, battue aux Ulis, et @domecharoux91, battu à Etrechy. Bravo pour les belles campagnes qu’ils ont menées et leur implication, ils n’ont pas démérité.",24,"['municipales2020', 'pensées', 'mehlhorneric', 'battu', 'savigny', 'orge', 'jean', 'pierre', 'bechter', 'battu', 'corbeil', 'essonnes', 'fmulis', 'battue', 'ulis', 'domecharoux91', 'battu', 'etrechy', 'bravo', 'belles', 'campagnes', 'menées', 'implication', 'démérité']"
25,Pol_Animaux,2020-06-29 13:37:06,#Givors2020 • Félicitations @CEGivors2020 ! Engagé sur la charte @L214 pour faire de Givors une ville pour les animaux. https://www.politique-animaux.fr/municipales-2020 #Animaux2020 #Municipales2020 ,19,"['givors2020', 'félicitations', 'cegivors2020', 'engagé', 'charte', 'l214', 'faire', 'givors', 'ville', 'animaux', 'https', 'www', 'politique', 'animaux', 'fr', 'municipales', '2020', 'animaux2020', 'municipales2020']"
26,claudelongchamp,2020-06-29 13:36:55,#Municipales #Municipales2020 https://twitter.com/ellibec/status/1277541478299041792?s=21,9,"['municipales', 'municipales2020', 'https', 'twitter', 'com', 'ellibec', 'status', '1277541478299041792', '21']"
27,RomainGaillard8,2020-06-29 13:36:39,La démocratie est un naufrage. #Municipales2020 #ecologistes,4,"['démocratie', 'naufrage', 'municipales2020', 'ecologistes']"
28,F3Aquitaine,2020-06-29 13:36:39,"Dans le 12/13 @f3aquitaine, réaction de Florent Fatin @fcomfatin après sa victoire aux #Municipales2020 à #Pauillac en Gironde ► https://france3-regions.francetvinfo.fr/nouvelle-aquitaine/gironde/municipales-2020-pauillac-maire-sortant-florent-fatin-est-reelu-1845182.html",30,"['12', '13', 'f3aquitaine', 'réaction', 'florent', 'fatin', 'fcomfatin', 'après', 'victoire', 'municipales2020', 'pauillac', 'gironde', 'https', 'france3', 'regions', 'francetvinfo', 'fr', 'nouvelle', 'aquitaine', 'gironde', 'municipales', '2020', 'pauillac', 'maire', 'sortant', 'florent', 'fatin', 'reelu', '1845182', 'html']"
29,CAQSMEDIA,2020-06-29 13:36:23,Retrouvez les résultats des #municipales2020 des grandes villes d'Occitanie ,6,"['retrouvez', 'résultats', 'municipales2020', 'grandes', 'villes', 'occitanie']"
30,lemonde_pol,2020-06-29 13:36:13,"#Municipales2020 : Avec 41,71 % des voix, Jeanne Barseghian rafle haut la main la mairie de Strasbourg, loin devant ses concurrents Alain Fontanel (LRM, 34,96 %) et Catherine Trautmann (PS, 23,33 %) ",24,"['municipales2020', '41', '71', 'voix', 'jeanne', 'barseghian', 'rafle', 'haut', 'main', 'mairie', 'strasbourg', 'loin', 'devant', 'concurrents', 'alain', 'fontanel', 'lrm', '34', '96', 'catherine', 'trautmann', 'ps', '23', '33']"
31,LibresJeunes,2020-06-29 13:36:12,Félicitations à @ThoryMaxime pour sa victoire à Montmorency !!! #Municipales2020 ,5,"['félicitations', 'thorymaxime', 'victoire', 'montmorency', 'municipales2020']"
